,title,year,activity,agent
3121,Come Out Fighting,1973,Key cast:,Michael Karpaney
3122,Come Out Fighting,1973,Key cast:,Joey Collins
3123,Come Out Fighting,1973,Key cast:,Bethany Lee
3124,Come Out Fighting,1973,Key cast:,Cliff Neate
3125,Come Out Fighting,1973,Key cast:,Peter Green
3126,Come Out Fighting,1973,Key cast:,Bob Horsfall
3127,Come Out Fighting,1973,Key cast:,Brian Torrens
3128,Come Out Fighting,1973,Key cast:,Peter Adams
3129,Come Out Fighting,1973,Key cast:,Martin Phelan
3130,Come Out Fighting,1973,Key cast:,Harry Williams
3131,Come Out Fighting,1973,Key cast:,Max Pescud
3132,Come Out Fighting,1973,Key cast:,Bert Williams
3133,Come Out Fighting,1973,Key cast:,Kris McQuade
3134,Come Out Fighting,1973,Key cast:,John Jacobs
3135,Come Out Fighting,1973,Key cast:,John Duigan
3136,Come Out Fighting,1973,Director/s:,Nigel Buesst
3137,Come Out Fighting,1973,Producer/s:,Nigel Buesst
3138,Come Up Smiling,1939,Key cast:,Will Mahoney
3139,Come Up Smiling,1939,Key cast:,Shirley Ann Richards
3140,Come Up Smiling,1939,Key cast:,Jean Hatton
3141,Come Up Smiling,1939,Key cast:,Evie Hayes
3142,Come Up Smiling,1939,Key cast:,Sidney Wheeler
3143,Come Up Smiling,1939,Key cast:,Alec Kellaway
3144,Come Up Smiling,1939,Key cast:,Guy Hastings
3145,Come Up Smiling,1939,Key cast:,John Fleeting
3146,Come Up Smiling,1939,Key cast:,Ronald Whelan
3147,Come Up Smiling,1939,Key cast:,Harry Abdy
3148,Come Up Smiling,1939,Key cast:,Lou Vernon
3149,Come Up Smiling,1939,Key cast:,Harold Meade
3150,Come Up Smiling,1939,Key cast:,Charles Zoli
3151,Come Up Smiling,1939,Key cast:,Bob Geraghty
3152,Come Up Smiling,1939,Key cast:,Jack Dunleavy
3153,Come Up Smiling,1939,Director/s:,William Freshman
3154,Come Up Smiling,1939,Producer/s:,Ken G. Hall
3155,Confessor Caressor,1989,Key cast:,Nicholas Hope
3156,Confessor Caressor,1989,Key cast:,Peter Henderson
3157,Confessor Caressor,1989,Director/s:,Timothy Nicholls
3158,Confessor Caressor,1989,Producer/s:,Timothy Nicholls
3159,Contagion,1987,Key cast:,John Doyle
3160,Contagion,1987,Key cast:,Nicola Bartlett
3161,Contagion,1987,Key cast:,Ray Barrett
3162,Contagion,1987,Key cast:,Nathy Gaffney
3163,Contagion,1987,Key cast:,Pamela Hawksford
3164,Contagion,1987,Key cast:,Jacqueline Brennan
3165,Contagion,1987,Key cast:,Chris Betts
3166,Contagion,1987,Key cast:,Michael Simpson
3167,Contagion,1987,Key cast:,Reginald Cameron
3168,Contagion,1987,Key cast:,Michael McCaffrey
3169,Contagion,1987,Key cast:,Tracy Nugent
3170,Contagion,1987,Key cast:,Donna Jan Newby
3171,Contagion,1987,Key cast:,Allan Harvey
3172,Contagion,1987,Key cast:,Michael Stanford
3173,Contagion,1987,Key cast:,Rosemary Traynor
3174,Contagion,1987,Director/s:,Karl Zwicky
3175,Contagion,1987,Producer/s:,Ken Methold
3176,Contagion,1987,Producer/s:,Leo Barretto
3177,Cool Change,1985,Key cast:,Jon Blake
3178,Cool Change,1985,Key cast:,Lisa Armytage
3179,Cool Change,1985,Key cast:,Deborra-Lee Furness
3180,Cool Change,1985,Key cast:,David Bradshaw
3181,Cool Change,1985,Key cast:,Alec Wilson
3182,Cool Change,1985,Key cast:,James Wright
3183,Cool Change,1985,Key cast:,Mark Albiston
3184,Cool Change,1985,Key cast:,Alan Fletcher
3185,Cool Change,1985,Key cast:,Marie Redshaw
3186,Cool Change,1985,Key cast:,Robert Bruning
3187,Cool Change,1985,Key cast:,Clive Hearne
3188,Cool Change,1985,Key cast:,Christopher Stevenson
3189,Cool Change,1985,Key cast:,Jennifer Hearne
3190,Cool Change,1985,Key cast:,Wilbur Wilde
3191,Cool Change,1985,Director/s:,George T. Miller
3192,Cool Change,1985,Producer/s:,Dennis Wright
3193,The Coolangatta Gold,1984,Key cast:,Joss McWilliam
3194,The Coolangatta Gold,1984,Key cast:,Nick Tate
3195,The Coolangatta Gold,1984,Key cast:,Robyn Nevin
3196,The Coolangatta Gold,1984,Key cast:,Josephine Smulders
3197,The Coolangatta Gold,1984,Key cast:,Grant Kenny
3198,The Coolangatta Gold,1984,Key cast:,Melanie Day
3199,The Coolangatta Gold,1984,Key cast:,Melissa Jaffer
3200,The Coolangatta Gold,1984,Key cast:,Paul Starling
3201,The Coolangatta Gold,1984,Key cast:,Brian Syron
3202,The Coolangatta Gold,1984,Key cast:,Wilbur Wilde
3203,The Coolangatta Gold,1984,Director/s:,Igor Auzins
3204,The Coolangatta Gold,1984,Producer/s:,John Weiley
3205,Cornflakes for Tea,1980,Key cast:,Howard Kloester
3206,Cornflakes for Tea,1980,Key cast:,Linda Hartley
3207,Cornflakes for Tea,1980,Key cast:,Tamblyn Lord
3208,Cornflakes for Tea,1980,Key cast:,Max Cullen
3209,Cornflakes for Tea,1980,Key cast:,George Mallaby
3210,Cornflakes for Tea,1980,Key cast:,Candy Raymond
3211,Cornflakes for Tea,1980,Key cast:,Bruce Kerr
3212,Cornflakes for Tea,1980,Key cast:,Kerry Armstrong
3213,Cornflakes for Tea,1980,Key cast:,Vince D'Amico
3214,Cornflakes for Tea,1980,Key cast:,Peggy Nicholls
3215,Cornflakes for Tea,1980,Key cast:,Jan Friedl
3216,Cornflakes for Tea,1980,Key cast:,Helen Noonan
3217,Cornflakes for Tea,1980,Key cast:,Bill Rose
3218,Cornflakes for Tea,1980,Director/s:,John Colquhoun
3219,Cornflakes for Tea,1980,Producer/s:,Tom Broadbridge
3220,Così,1995,Key cast:,Ben Mendelsohn
3221,Così,1995,Key cast:,Barry Otto
3222,Così,1995,Key cast:,Toni Collette
3223,Così,1995,Key cast:,Rachel Griffiths
3224,Così,1995,Key cast:,Aden Young
3225,Così,1995,Key cast:,Jacki Weaver
3226,Così,1995,Key cast:,Pamela Rabe
3227,Così,1995,Key cast:,Colin Friels
3228,Così,1995,Key cast:,Kerry Walker
3229,Così,1995,Key cast:,Tony Llewellyn Jones
3230,Così,1995,Key cast:,Paul Chubb
3231,Così,1995,Key cast:,Colin Hay
3232,Così,1995,Key cast:,David Wenham
3233,Così,1995,Key cast:,Robin Ramsay
3234,Così,1995,Key cast:,Henry Maas
3235,Così,1995,Key cast:,Skye Wansey
3236,Così,1995,Key cast:,Daniel Wyllie
3237,Così,1995,Key cast:,Rachael Maza
3238,Così,1995,Key cast:,Anita Hegh
3239,Così,1995,Key cast:,Greta Scacchi
3240,Così,1995,Director/s:,Mark Joffe
3241,Così,1995,Producer/s:,Richard Brennan
3242,Così,1995,Producer/s:,Timothy White
3243,Country Comfort,1996,Key cast:,Claudia Karvan
3244,Country Comfort,1996,Key cast:,Paul Blackwell
3245,Country Comfort,1996,Director/s:,Adolfo Cruzado
3246,Country Comfort,1996,Producer/s:,Adolfo Cruzado
3247,Country Life,1994,Key cast:,Sam Neill
3248,Country Life,1994,Key cast:,Greta Scacchi
3249,Country Life,1994,Key cast:,John Hargreaves
3250,Country Life,1994,Key cast:,Kerry Fox
3251,Country Life,1994,Key cast:,Patricia Kennedy
3252,Country Life,1994,Key cast:,Maurie Fields
3253,Country Life,1994,Key cast:,Ron Blanchard
3254,Country Life,1994,Key cast:,Googie Withers
3255,Country Life,1994,Key cast:,Michael Blakemore
3256,Country Life,1994,Key cast:,Robyn Cruze
3257,Country Life,1994,Key cast:,Bryan Marshall
3258,Country Life,1994,Key cast:,Tony Barry
3259,Country Life,1994,Key cast:,Terry Brady
3260,Country Life,1994,Key cast:,Tom Long
3261,Country Life,1994,Key cast:,Rob Steele
3262,Country Life,1994,Key cast:,Ian Bliss
3263,Country Life,1994,Key cast:,Colin Taylor
3264,Country Life,1994,Key cast:,Ian Cockburn
3265,Country Life,1994,Director/s:,Michael Blakemore
3266,Country Life,1994,Producer/s:,Robin Dalton
3267,Country Town,1971,Key cast:,Gary Gray
3268,Country Town,1971,Key cast:,Terry McDermott
3269,Country Town,1971,Key cast:,Mark Albiston
3270,Country Town,1971,Key cast:,Brian Anderson
3271,Country Town,1971,Key cast:,Carl Bleazby
3272,Country Town,1971,Key cast:,Dorothy Bradley
3273,Country Town,1971,Key cast:,Moira Carleton
3274,Country Town,1971,Key cast:,Anne Charleston
3275,Country Town,1971,Key cast:,Kirsty Child
3276,Country Town,1971,Key cast:,Sydney Conabere
3277,Country Town,1971,Key cast:,Margaret Cruickshank
3278,Country Town,1971,Key cast:,Lynette Curran
3279,Country Town,1971,Key cast:,Roy Day
3280,Country Town,1971,Key cast:,Maurie Fields
3281,Country Town,1971,Key cast:,Gabrielle Hartley
3282,Country Town,1971,Key cast:,Telford Jackson
3283,Country Town,1971,Key cast:,Stella Lamond
3284,Country Town,1971,Key cast:,Kurt Ludescher
3285,Country Town,1971,Key cast:,Gerard Maguire
3286,Country Town,1971,Key cast:,Carmel Millhouse
3287,Country Town,1971,Key cast:,Gerda Nicolson
3288,Country Town,1971,Key cast:,Sue Parsons
3289,Country Town,1971,Key cast:,Frank Rich
3290,Country Town,1971,Key cast:,Rosie Sturgess
3291,Country Town,1971,Key cast:,Peter Cummins
3292,Country Town,1971,Key cast:,Sheila Florance
3293,Country Town,1971,Key cast:,Jon Lowe
3294,Country Town,1971,Director/s:,Peter Maxwell
3295,Country Town,1971,Producer/s:,Fenton Rosewarne
3296,Crackerjack,2002,Key cast:,Mick Molloy
3297,Crackerjack,2002,Key cast:,Bill Hunter
3298,Crackerjack,2002,Key cast:,Frank Wilson
3299,Crackerjack,2002,Key cast:,Monica Maughan
3300,Crackerjack,2002,Key cast:,Lois Ramsey
3301,Crackerjack,2002,Key cast:,Samuel Johnson
3302,Crackerjack,2002,Key cast:,Judith Lucy
3303,Crackerjack,2002,Key cast:,Cliff Ellen
3304,Crackerjack,2002,Key cast:,Bob Hornery
3305,Crackerjack,2002,Key cast:,Peter Aanensen
3306,Crackerjack,2002,Key cast:,Esme Melville
3307,Crackerjack,2002,Key cast:,John Clarke (actor)
3308,Crackerjack,2002,Key cast:,John Flaus
3309,Crackerjack,2002,Key cast:,Lois Collinder
3310,Crackerjack,2002,Key cast:,Paul McCarthy
3311,Crackerjack,2002,Key cast:,Teague Rook
3312,Crackerjack,2002,Key cast:,Dino Marnika
3313,Crackerjack,2002,Key cast:,Robyn Butler
3314,Crackerjack,2002,Key cast:,Brett Swain
3315,Crackerjack,2002,Key cast:,Denis Moore
3316,Crackerjack,2002,Key cast:,Tim Sullivan
3317,Crackerjack,2002,Key cast:,Joan Murray
3318,Crackerjack,2002,Key cast:,Tony Martin
3319,Crackerjack,2002,Key cast:,Steve Hutchinson
3320,Crackerjack,2002,Director/s:,Paul Moloney
3321,Crackerjack,2002,Producer/s:,Mick Molloy
3322,Crackerjack,2002,Producer/s:,Stephen Luby
3323,Crackers,1998,Key cast:,Warren Mitchell
3324,Crackers,1998,Key cast:,Peter Rowsthorn
3325,Crackers,1998,Key cast:,Susan Lyons
3326,Crackers,1998,Key cast:,Daniel Kellie
3327,Crackers,1998,Key cast:,Terry Gill
3328,Crackers,1998,Key cast:,Maggie King
3329,Crackers,1998,Key cast:,Valerie Bader
3330,Crackers,1998,Key cast:,Christopher Chapman
3331,Crackers,1998,Key cast:,Louise Siversen
3332,Crackers,1998,Key cast:,Ross Williams
3333,Crackers,1998,Director/s:,David Swann
3334,Crackers,1998,Producer/s:,Chris Warner
3335,The Craíc,1998,Key cast:,Jimeoin McKeown
3336,The Craíc,1998,Key cast:,Alan McKee
3337,The Craíc,1998,Key cast:,Colin Hay
3338,The Craíc,1998,Key cast:,Bob Franklin
3339,The Craíc,1998,Key cast:,Robert Morgan
3340,The Craíc,1998,Key cast:,Nicholas Bell
3341,The Craíc,1998,Key cast:,Jane Hall
3342,The Craíc,1998,Key cast:,Catherine Arena
3343,The Craíc,1998,Key cast:,John Penman
3344,The Craíc,1998,Key cast:,Alan Brough
3345,The Craíc,1998,Key cast:,Greg Evans
3346,The Craíc,1998,Key cast:,Eloise Gentle
3347,The Craíc,1998,Key cast:,Geoff Paine
3348,The Craíc,1998,Key cast:,Tony Rickards
3349,The Craíc,1998,Key cast:,Charles Tingwell
3350,The Craíc,1998,Key cast:,Beverley Dunn
3351,The Craíc,1998,Key cast:,Reg Gorman
3352,The Craíc,1998,Key cast:,Peter Aanensen
3353,The Craíc,1998,Key cast:,Anne Phelan
3354,The Craíc,1998,Director/s:,Ted Emery
3355,The Craíc,1998,Producer/s:,Marc Gracie
3356,The Craíc,1998,Producer/s:,David Foster (producer)
3357,The Craíc,1998,Producer/s:,Jimeoin McKeown
3358,Crime of the Decade,1984,Key cast:,Mark Davis
3359,Crime of the Decade,1984,Key cast:,Toni Allaylis
3360,Crime of the Decade,1984,Key cast:,John Gregg
3361,Crime of the Decade,1984,Key cast:,Paul Smith
3362,Crime of the Decade,1984,Key cast:,John Jarratt
3363,Crime of the Decade,1984,Key cast:,John Hamblin
3364,Crime of the Decade,1984,Key cast:,Vicki Luke
3365,Crime of the Decade,1984,Key cast:,Belinda Giblin
3366,Crime of the Decade,1984,Key cast:,Bill Pearson
3367,Crime of the Decade,1984,Key cast:,Russell Newman
3368,Crime of the Decade,1984,Key cast:,Sonja Tallis
3369,Crime of the Decade,1984,Key cast:,Lyn Porteous
3370,Crime of the Decade,1984,Key cast:,Judy Nunn
3371,Crime of the Decade,1984,Key cast:,Angela Cockburn
3372,Crime of the Decade,1984,Key cast:,Garry Cook
3373,Crime of the Decade,1984,Key cast:,Peter Hehir
3374,Crime of the Decade,1984,Key cast:,Rod Zuanic
3375,Crime of the Decade,1984,Key cast:,Arna Hunter
3376,Crime of the Decade,1984,Key cast:,Tamsin Hardman
3377,Crime of the Decade,1984,Key cast:,John Godden
3378,Crime of the Decade,1984,Key cast:,Bob Baines
3379,Crime of the Decade,1984,Key cast:,Antoinette Byron
3380,Crime of the Decade,1984,Key cast:,Mercia Deane-Johns
3381,Crime of the Decade,1984,Key cast:,Harold Kissin
3382,Crime of the Decade,1984,Key cast:,Harry Lawrence
3383,Crime of the Decade,1984,Director/s:,Ken Cameron
3384,Crime of the Decade,1984,Producer/s:,Michael Carson
3385,Crimebroker,1993,Key cast:,Jacqueline Bisset
3386,Crimebroker,1993,Key cast:,Masaya Kato
3387,Crimebroker,1993,Key cast:,Gary Day
3388,Crimebroker,1993,Key cast:,John Bach
3389,Crimebroker,1993,Key cast:,Gary Sweet
3390,Crimebroker,1993,Key cast:,Victoria Longley
3391,Crimebroker,1993,Key cast:,Richard Roxburgh
3392,Crimebroker,1993,Key cast:,Ralph Cotterill
3393,Crimebroker,1993,Key cast:,Gabrielle Hammond
3394,Crimebroker,1993,Key cast:,Barry Quin
3395,Crimebroker,1993,Key cast:,Sally Warwick
3396,Crimebroker,1993,Key cast:,Ron Wilson
3397,Crimebroker,1993,Director/s:,Ian Barry
3398,Crimebroker,1993,Producer/s:,Chris Brown
3399,Crimebroker,1993,Producer/s:,Hiroyuki Ikeda
3400,Crimebroker,1993,Producer/s:,John Sexton
3401,Crocodile Dundee,1986,Key cast:,Paul Hogan
3402,Crocodile Dundee,1986,Key cast:,Linda Kozlowski
3403,Crocodile Dundee,1986,Key cast:,Mark Blum
3404,Crocodile Dundee,1986,Key cast:,David Gulpilil
3405,Crocodile Dundee,1986,Key cast:,Michael Lombard
3406,Crocodile Dundee,1986,Key cast:,John Meillon
3407,Crocodile Dundee,1986,Key cast:,Ritchie Singer
3408,Crocodile Dundee,1986,Key cast:,Maggie Blinco
3409,Crocodile Dundee,1986,Key cast:,Steve Rackman
3410,Crocodile Dundee,1986,Key cast:,Gerry Skilton
3411,Crocodile Dundee,1986,Key cast:,Terry Gill
3412,Crocodile Dundee,1986,Key cast:,Peter Turnbull
3413,Crocodile Dundee,1986,Key cast:,Christine Totos
3414,Crocodile Dundee,1986,Key cast:,Graham Walker
3415,Crocodile Dundee,1986,Key cast:,Irving Metzman
3416,Crocodile Dundee,1986,Key cast:,Reginald Velhjohnson
3417,Crocodile Dundee,1986,Director/s:,Peter Faiman
3418,Crocodile Dundee,1986,Producer/s:,John Cornell
3419,Crocodile Dundee in Los Angeles,2001,Key cast:,Paul Hogan
3420,Crocodile Dundee in Los Angeles,2001,Key cast:,Linda Kozlowski
3421,Crocodile Dundee in Los Angeles,2001,Key cast:,Jere Burns
3422,Crocodile Dundee in Los Angeles,2001,Key cast:,Jonathan Banks
3423,Crocodile Dundee in Los Angeles,2001,Key cast:,Alec Wilson
3424,Crocodile Dundee in Los Angeles,2001,Key cast:,Serge Cockburn
3425,Crocodile Dundee in Los Angeles,2001,Key cast:,Gerry Skilton
3426,Crocodile Dundee in Los Angeles,2001,Key cast:,Steve Rackman
3427,Crocodile Dundee in Los Angeles,2001,Key cast:,David Ngoombujarra
3428,Crocodile Dundee in Los Angeles,2001,Key cast:,Aida Turturro
3429,Crocodile Dundee in Los Angeles,2001,Key cast:,Paul Rodriguez
3430,Crocodile Dundee in Los Angeles,2001,Key cast:,David Clendinning
3431,Crocodile Dundee in Los Angeles,2001,Key cast:,Duke Bannister
3432,Crocodile Dundee in Los Angeles,2001,Key cast:,Betty Bobbitt
3433,Crocodile Dundee in Los Angeles,2001,Key cast:,Karen Crone
3434,Crocodile Dundee in Los Angeles,2001,Key cast:,Angela Campbell
3435,Crocodile Dundee in Los Angeles,2001,Key cast:,Tiriel Mora
3436,Crocodile Dundee in Los Angeles,2001,Key cast:,Grant Piro
3437,Crocodile Dundee in Los Angeles,2001,Key cast:,Nicholas Hammond
3438,Crocodile Dundee in Los Angeles,2001,Key cast:,Slim de Grey
3439,Crocodile Dundee in Los Angeles,2001,Key cast:,Mike Tyson
3440,Crocodile Dundee in Los Angeles,2001,Key cast:,George Hamilton
3441,Crocodile Dundee in Los Angeles,2001,Director/s:,Simon Wincer
3442,Crocodile Dundee in Los Angeles,2001,Producer/s:,Lance Hool
3443,Crocodile Dundee in Los Angeles,2001,Producer/s:,Paul Hogan
3444,The Crocodile Hunter Collision Course,2002,Key cast:,Steve Irwin
3445,The Crocodile Hunter Collision Course,2002,Key cast:,Terri Irwin
3446,The Crocodile Hunter Collision Course,2002,Key cast:,Magda Szubanski
3447,The Crocodile Hunter Collision Course,2002,Key cast:,David Wenham
3448,The Crocodile Hunter Collision Course,2002,Key cast:,Lachy Hulme
3449,The Crocodile Hunter Collision Course,2002,Key cast:,Aden Young
3450,The Crocodile Hunter Collision Course,2002,Key cast:,Kenneth Ransom
3451,The Crocodile Hunter Collision Course,2002,Key cast:,Kate Beahan
3452,The Crocodile Hunter Collision Course,2002,Key cast:,Steven Vidler
3453,The Crocodile Hunter Collision Course,2002,Key cast:,Steve Bastoni
3454,The Crocodile Hunter Collision Course,2002,Key cast:,Alyson Standen
3455,The Crocodile Hunter Collision Course,2002,Key cast:,Robert Coleby
3456,The Crocodile Hunter Collision Course,2002,Key cast:,Kevin Hides
3457,The Crocodile Hunter Collision Course,2002,Director/s:,John Stainton
3458,The Crocodile Hunter Collision Course,2002,Producer/s:,Arnold Rifkin
3459,The Crocodile Hunter Collision Course,2002,Producer/s:,Judi Bailey
3460,The Crocodile Hunter Collision Course,2002,Producer/s:,John Stainton
3461,The Crossing,1990,Key cast:,Russell Crowe
3462,The Crossing,1990,Key cast:,Robert Mammone
3463,The Crossing,1990,Key cast:,Danielle Spencer
3464,The Crossing,1990,Key cast:,Emily Lumbers
3465,The Crossing,1990,Key cast:,Rodney Bell
3466,The Crossing,1990,Key cast:,Ben Oxenbould
3467,The Crossing,1990,Key cast:,Myles Collins
3468,The Crossing,1990,Key cast:,Marc Gray
3469,The Crossing,1990,Key cast:,Megan Connolly
3470,The Crossing,1990,Key cast:,John Blair
3471,The Crossing,1990,Key cast:,George Whaley
3472,The Crossing,1990,Key cast:,Jacqy Phillips
3473,The Crossing,1990,Key cast:,Les Foxcroft
3474,The Crossing,1990,Key cast:,Daphne Grey
3475,The Crossing,1990,Key cast:,Patrick Ward
3476,The Crossing,1990,Key cast:,May Lloyd
3477,The Crossing,1990,Key cast:,Warren Coleman
3478,The Crossing,1990,Key cast:,Maroochy Barambah
3479,The Crossing,1990,Key cast:,Steve Dodd
3480,The Crossing,1990,Key cast:,Cathren Michalak
3481,The Crossing,1990,Director/s:,George Ogilvie
3482,The Crossing,1990,Producer/s:,Sue Seeary
3483,Crosstalk,1982,Key cast:,Gary Day
3484,Crosstalk,1982,Key cast:,Penny Downie
3485,Crosstalk,1982,Key cast:,John Ewart
3486,Crosstalk,1982,Key cast:,Kim Deacon
3487,Crosstalk,1982,Key cast:,Brian McDermott
3488,Crosstalk,1982,Key cast:,Peter Collingwood
3489,Crosstalk,1982,Key cast:,Jill Forster
3490,Crosstalk,1982,Key cast:,Judith Woodroffe
3491,Crosstalk,1982,Director/s:,Mark Egerton
3492,Crosstalk,1982,Producer/s:,Errol Sullivan
3493,Cubbyhouse,2001,Key cast:,Joshua Leonard
3494,Cubbyhouse,2001,Key cast:,Belinda McClory
3495,Cubbyhouse,2001,Key cast:,Jerome Ehlers
3496,Cubbyhouse,2001,Key cast:,Craig McLachlan
3497,Cubbyhouse,2001,Key cast:,Lauren Hewett
3498,Cubbyhouse,2001,Key cast:,Amy Reti
3499,Cubbyhouse,2001,Key cast:,Joshua Tainsh-Biagi
3500,Cubbyhouse,2001,Key cast:,Belinda Ann Gavin
3501,Cubbyhouse,2001,Key cast:,Canita Farrer
3502,Cubbyhouse,2001,Key cast:,Peter Callan
3503,Cubbyhouse,2001,Key cast:,Ingrid Mason
3504,Cubbyhouse,2001,Key cast:,Brian Hinselwood
3505,Cubbyhouse,2001,Key cast:,Craig Marriott
3506,Cubbyhouse,2001,Key cast:,Murray Fahey
3507,Cubbyhouse,2001,Key cast:,Chris Brown
3508,Cubbyhouse,2001,Director/s:,Murray Fahey
3509,Cubbyhouse,2001,Producer/s:,Chris Brown
3510,Cubbyhouse,2001,Producer/s:,David Hannay
3511,Cunnamulla,2000,Key cast:,
3512,Cunnamulla,2000,Director/s:,Dennis O'Rourke
3513,Cunnamulla,2000,Producer/s:,Dennis O'Rourke
3514,The Custodian,1993,Key cast:,Anthony LaPaglia
3515,The Custodian,1993,Key cast:,Hugo Weaving
3516,The Custodian,1993,Key cast:,Barry Otto
3517,The Custodian,1993,Key cast:,Kelly Dingwall
3518,The Custodian,1993,Key cast:,Bill Hunter
3519,The Custodian,1993,Key cast:,Gosia Dobrowolska
3520,The Custodian,1993,Key cast:,Essie Davis
3521,The Custodian,1993,Key cast:,Skye Wansey
3522,The Custodian,1993,Key cast:,Christina Totos
3523,The Custodian,1993,Key cast:,Naomi Watts
3524,The Custodian,1993,Key cast:,Joy Smithers
3525,The Custodian,1993,Key cast:,Tim McKenzie
3526,The Custodian,1993,Key cast:,Norman Kaye
3527,The Custodian,1993,Key cast:,Steven Grives
3528,The Custodian,1993,Key cast:,Bogdan Koca
3529,The Custodian,1993,Key cast:,Russell Newman
3530,The Custodian,1993,Key cast:,Andrew Sharp
3531,The Custodian,1993,Key cast:,Andrew Gilbert
3532,The Custodian,1993,Key cast:,Wayne Pygram
3533,The Custodian,1993,Key cast:,Bob Baines
3534,The Custodian,1993,Director/s:,John Dingwall
3535,The Custodian,1993,Producer/s:,Adrienne Read
3536,Cut,2000,Key cast:,Molly Ringwald
3537,Cut,2000,Key cast:,Jessica Napier
3538,Cut,2000,Key cast:,Simon Bossell
3539,Cut,2000,Key cast:,Sarah Kants
3540,Cut,2000,Key cast:,Kylie Minogue
3541,Cut,2000,Key cast:,Frank Roberts
3542,Cut,2000,Key cast:,Geoff Revell
3543,Cut,2000,Key cast:,Stephen Curry
3544,Cut,2000,Key cast:,Matt Russell
3545,Cut,2000,Key cast:,Erika Walters
3546,Cut,2000,Key cast:,Cathy Adamek
3547,Cut,2000,Key cast:,Steve Greig
3548,Cut,2000,Key cast:,Sam Lewis
3549,Cut,2000,Key cast:,Paul Blackwell
3550,Cut,2000,Key cast:,Don Barker
3551,Cut,2000,Key cast:,Phyllis Burford
3552,Cut,2000,Key cast:,Patrick Frost
3553,Cut,2000,Key cast:,Ted Hodgeman
3554,Cut,2000,Key cast:,Peter Green
3555,Cut,2000,Key cast:,Caroline Mignone
3556,Cut,2000,Key cast:,Bronwyn James
3557,Cut,2000,Key cast:,Pamela Shaw
3558,Cut,2000,Key cast:,Tiriel Mora
3559,Cut,2000,Director/s:,Kimble Rendall
3560,Cut,2000,Producer/s:,Martin Fabinyi
3561,Cut,2000,Producer/s:,Bill Bennett
3562,Cut,2000,Producer/s:,Jennifer Bennett
3563,Dad and Dave Come to Town,1938,Key cast:,Bert Bailey
3564,Dad and Dave Come to Town,1938,Key cast:,Shirley Ann Richards
3565,Dad and Dave Come to Town,1938,Key cast:,Fred MacDonald
3566,Dad and Dave Come to Town,1938,Key cast:,Billy Rayes
3567,Dad and Dave Come to Town,1938,Key cast:,Alec Kellaway
3568,Dad and Dave Come to Town,1938,Key cast:,Sidney Wheeler
3569,Dad and Dave Come to Town,1938,Key cast:,Connie Martyn
3570,Dad and Dave Come to Town,1938,Key cast:,Ossie Wenban
3571,Dad and Dave Come to Town,1938,Key cast:,Valerie Scanlan
3572,Dad and Dave Come to Town,1938,Key cast:,Muriel Flood
3573,Dad and Dave Come to Town,1938,Key cast:,Leila Steppe
3574,Dad and Dave Come to Town,1938,Key cast:,Marshall Crosby
3575,Dad and Dave Come to Town,1938,Key cast:,Peter Finch
3576,Dad and Dave Come to Town,1938,Key cast:,Cecil Perry
3577,Dad and Dave Come to Town,1938,Key cast:,Billy Stewart
3578,Dad and Dave Come to Town,1938,Key cast:,Marie D'Alton
3579,Dad and Dave Come to Town,1938,Key cast:,Leslie Victor
3580,Dad and Dave Come to Town,1938,Key cast:,George Lloyd
3581,Dad and Dave Come to Town,1938,Key cast:,Jack Settle
3582,Dad and Dave Come to Town,1938,Key cast:,Sid Doody
3583,Dad and Dave Come to Town,1938,Key cast:,Cyril Northcote
3584,Dad and Dave Come to Town,1938,Director/s:,Ken G. Hall
3585,Dad and Dave Come to Town,1938,Producer/s:,Ken G. Hall
3586,Dad and Dave On Our Selection,1995,Key cast:,Leo McKern
3587,Dad and Dave On Our Selection,1995,Key cast:,Joan Sutherland
3588,Dad and Dave On Our Selection,1995,Key cast:,Geoffrey Rush
3589,Dad and Dave On Our Selection,1995,Key cast:,Ray Barrett
3590,Dad and Dave On Our Selection,1995,Key cast:,Barry Otto
3591,Dad and Dave On Our Selection,1995,Key cast:,Nicholas Eadie
3592,Dad and Dave On Our Selection,1995,Key cast:,Noah Taylor
3593,Dad and Dave On Our Selection,1995,Key cast:,Robert Menzies
3594,Dad and Dave On Our Selection,1995,Key cast:,Essie Davis
3595,Dad and Dave On Our Selection,1995,Key cast:,Celia Ireland
3596,Dad and Dave On Our Selection,1995,Key cast:,David Field
3597,Dad and Dave On Our Selection,1995,Key cast:,Murray Bartlett
3598,Dad and Dave On Our Selection,1995,Key cast:,Pat Bishop
3599,Dad and Dave On Our Selection,1995,Key cast:,Cathy Campbell
3600,Dad and Dave On Our Selection,1995,Key cast:,John Gaden
3601,Dad and Dave On Our Selection,1995,Key cast:,Bruce Venables
3602,Dad and Dave On Our Selection,1995,Key cast:,Peter Whitford
3603,Dad and Dave On Our Selection,1995,Key cast:,Vic Rooney
3604,Dad and Dave On Our Selection,1995,Key cast:,Hec McMillan
3605,Dad and Dave On Our Selection,1995,Key cast:,Peter Carmody
3606,Dad and Dave On Our Selection,1995,Director/s:,George Whaley
3607,Dad and Dave On Our Selection,1995,Producer/s:,Anthony Buckley
3608,Dad and Dave On Our Selection,1995,Producer/s:,Bruce Davey
