title,year,activity,agent,label,work_uuid,agent_uuid
2000 Weeks,1968,hasDirector,Tim Burstall,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,cffdff03-e28e-405b-ac1e-ed08d00023a9
2000 Weeks,1968,hasProducer,Patrick Ryan,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,b060644e-5ccd-4272-9705-61510e12a8ed
2000 Weeks,1968,hasProducer,David Bilcock,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,d6b8de93-55a8-4a6a-bfa8-1816b08e4464
27A,1973,hasActor,Robert McDarra,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,2c708caf-3555-4586-b3c5-0913597f589e
27A,1973,hasActor,Bill Hunter,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,d965b11e-f80a-4d73-a624-b54706b1bbe7
27A,1973,hasActor,Graham Corry,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,17d2546d-24b7-43fa-8045-7000364c8a1b
27A,1973,hasActor,Richard Moir,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,fc6a974c-0c69-4152-a3f3-243d2916d327
27A,1973,hasActor,James Kemp,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,bf5aa199-93a4-4e7b-8109-f530b636b5f7
27A,1973,hasActor,Kris Olsen,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,4b7bdd2c-cc72-4b74-97a7-8960ed375a06
27A,1973,hasActor,Brian Doyle,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,ffe1c540-7dc3-4b61-bd42-a711b5d3f780
27A,1973,hasActor,Richard Creaser,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,289da674-7e2c-4cde-a8fd-6f84e16925fd
27A,1973,hasActor,Michael Norton,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,ff61fcd4-590f-4447-ae43-6703c3231e35
27A,1973,hasActor,Haydn Keenan,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,de5f9b2b-8f5b-485e-99f3-dd7039ffc461
27A,1973,hasActor,Gary McFeeter,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,6776e504-280f-40da-91e8-8e01332cae79
27A,1973,hasActor,Tom Farley,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,5a331055-08f1-4ad5-b68f-3f935fb4de27
27A,1973,hasActor,Jim Doherty,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,d96be030-a3df-4758-9b52-451c1bf2999c
27A,1973,hasActor,Peter Gailey,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,1a80bf8a-4c88-4abc-9cb6-29337f66127d
27A,1973,hasActor,Karl Florsheim,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,c66f8c8f-6995-4dc7-ba26-2d6c60906827
27A,1973,hasActor,Race Gailey,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,70b51dce-ec58-416a-8569-13c048621eb9
